Drug Induced Liver Injury Rank (DILIrank) Dataset Ver 2.0 | FDA,,,,,,
LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,
LT02418,Apixaban,4,Adverse reactions,vLess-DILI-concern,New,
LT00693,Aplaviroc,8,Discontinued,vMost-DILI-concern,Unchanged,
LT02217,Apomorphine hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT03623,Apremilast,0,No match,vNo-DILI-concern,New,
LT01195,Aprepitant,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00962,Aprotinin,7,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01030,Argatroban,0,No match,vNo-DILI-concern,Unchanged,
LT02077,Arginine hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT02331,Argipressin,0,No match,vNo-DILI-concern,Unchanged,
LT01143,Aripiprazole,5,Adverse reactions,vLess-DILI-concern,Revised,
LT03624,Aripiprazole lauroxil,5,Adverse reactions,vLess-DILI-concern,New,
LT01230,Armodafinil,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT01093,Arsenic trioxide,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01865,Artesunate,5,Adverse reactions,Ambiguous-DILI-concern,New,
LT03625,Asciminib hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT01303,Asparaginase,7,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00053,Aspirin,0,No match,vLess-DILI-concern,Unchanged,
LT01199,Atazanavir sulfate,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT00277,Atenolol,4,Adverse reactions,vLess-DILI-concern,Unchanged,
LT03626,Atogepant,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT01139,Atomoxetine hydrochloride,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00258,Atorvastatin calcium,5,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01096,Atovaquone,8,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00917,Atracurium,0,No match,vNo-DILI-Concern,Unchanged,
LT00511,Atropine,0,No match,vNo-DILI-concern,Unchanged,
LT02166,Auranofin,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT03627,Avacopan,8,Warnings & precautions,Ambiguous-DILI-concern,New,
LT02440,Avanafil,0,No match,vNo-DILI-concern,New,
LT03628,Avapritinib,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT03629,Avatrombopag maleate,0,No match,vNo-DILI-concern,New,
LT02399,Axitinib,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT01028,Azacitidine,8,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00006,Azathioprine,5,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT03630,Azilsartan kamedoxomil,0,No match,vNo-DILI-concern,New,
LT00265,Azithromycin,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01110,Aztreonam,5,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT02059,Bacitracin,0,No match,vNo-DILI-concern,Unchanged,
LT01113,Baclofen,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT03631,Baloxavir marboxil,0,No match,vNo-DILI-concern,New,
LT00512,Balsalazide disodium,8,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT03632,Baricitinib,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT01346,Basiliximab,0,No match,vNo-DILI-concern,Unchanged,
LT02400,Bedaquiline fumarate,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT03612,Belinostat,8,Warnings & precautions,Ambiguous-DILI-concern,New,
LT03633,Belumosudil mesylate,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT03634,Belzutifan,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT03635,Bempedoic acid,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT01116,Benazepril hydrochloride,4,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00659,Bendamustine hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT01117,Bendazac,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00825,Bendroflumethiazide,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00513,Benoxaprofen,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT01120,Benzarone,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00278,Benzbromarone,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT01121,Benziodarone,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT02756,Benznidazole,2,Adverse reactions,Ambiguous-DILI-concern,New,
LT00800,Benzonatate,0,No match,vLess-DILI-concern,Unchanged,
